Year,Rank,Name,Gender,Count
2015,1,Emma,F,20482
2015,2,Olivia,F,19721
2015,3,Noah,M,19675
2015,4,Liam,M,18406
2015,5,Sophia,F,17450
2015,6,Mason,M,16661
2015,7,Ava,F,16402
2015,8,Jacob,M,15993
2015,9,William,M,15940
2015,10,Isabella,F,15658
2016,1,Emma,F,19542
2016,2,Olivia,F,19404
2016,3,Noah,M,19177
2016,4,Liam,M,18267
2016,5,Ava,F,16341
2016,6,Sophia,F,16180
2016,7,William,M,15802
2016,8,Mason,M,15284
2016,9,James,M,14913
2016,10,Isabella,F,14852
2017,1,Emma,F,19865
2017,2,Liam,M,18855
2017,3,Olivia,F,18771
2017,4,Noah,M,18488
2017,5,Ava,F,16011
2017,6,Isabella,F,15243
2017,7,William,M,15031
2017,8,Sophia,F,14928
2017,9,James,M,14354
2017,10,Logan,M,14051
2018,1,Liam,M,19966
2018,2,Emma,F,18814
2018,3,Noah,M,18415
2018,4,Olivia,F,18050
2018,5,Ava,F,15020
2018,6,William,M,14639
2018,7,Isabella,F,14558
2018,8,Sophia,F,13997
2018,9,James,M,13640
2018,10,Oliver,M,13492
2019,1,Liam,M,20611
2019,2,Noah,M,19159
2019,3,Olivia,F,18561
2019,4,Emma,F,17212
2019,5,Ava,F,14534
2019,6,Oliver,M,13962
2019,7,Sophia,F,13801
2019,8,William,M,13639
2019,9,Elijah,M,13413
2019,10,Isabella,F,13388
2020,1,Liam,M,19842
2020,2,Noah,M,18429
2020,3,Olivia,F,17677
2020,4,Emma,F,15699
2020,5,Oliver,M,14270
2020,6,Elijah,M,13199
2020,7,Ava,F,13191
2020,8,Charlotte,F,13092
2020,9,Sophia,F,13086
2020,10,Amelia,F,12792
2021,1,Liam,M,20391
2021,2,Noah,M,18884
2021,3,Olivia,F,17824
2021,4,Emma,F,15530
2021,5,Oliver,M,14696
2021,6,Charlotte,F,13352
2021,7,Amelia,F,13024
2021,8,Ava,F,12854
2021,9,Elijah,M,12807
2021,10,Sophia,F,12559
2022,1,Liam,M,20533
2022,2,Noah,M,18708
2022,3,Olivia,F,16630
2022,4,Oliver,M,15141
2022,5,Emma,F,14484
2022,6,Charlotte,F,12936
2022,7,Amelia,F,12400
2022,8,Sophia,F,12361
2022,9,James,M,12089
2022,10,Elijah,M,12054
2023,1,Liam,M,20802
2023,2,Noah,M,18995
2023,3,Olivia,F,15270
2023,4,Oliver,M,14741
2023,5,Emma,F,13527
2023,6,Charlotte,F,12596
2023,7,Amelia,F,12311
2023,8,Sophia,F,11944
2023,9,James,M,11670
2023,10,Elijah,M,11452
