Year,Rank,Name,Gender,Count
1880,1,John,M,9655
1880,2,William,M,9532
1880,3,Mary,F,7065
1880,4,James,M,5927
1880,5,Charles,M,5348
1880,6,George,M,5126
1880,7,Frank,M,3242
1880,8,Joseph,M,2632
1880,9,Anna,F,2604
1880,10,Thomas,M,2534
1880,11,Henry,M,2444
1880,12,Robert,M,2415
1880,13,Edward,M,2364
1880,14,Harry,M,2152
1880,15,Emma,F,2003
1880,16,Elizabeth,F,1939
1880,17,Walter,M,1755
1880,18,Minnie,F,1746
1880,19,Arthur,M,1599
1880,20,Margaret,F,1578
1880,21,Fred,M,1569
1880,22,Albert,M,1493
1880,23,Ida,F,1472
1880,24,Alice,F,1414
1880,25,Bertha,F,1320
1880,26,Sarah,F,1288
1880,27,Annie,F,1258
1880,28,Clara,F,1226
1880,29,Ella,F,1156
1880,30,Florence,F,1063
1881,1,John,M,8768
1881,2,William,M,8524
1881,3,Mary,F,6919
1881,4,James,M,5441
1881,5,George,M,4664
1881,6,Charles,M,4636
1881,7,Frank,M,2834
1881,8,Anna,F,2698
1881,9,Joseph,M,2456
1881,10,Henry,M,2339
1881,11,Thomas,M,2282
1881,12,Edward,M,2177
1881,13,Robert,M,2140
1881,14,Emma,F,2034
1881,15,Harry,M,2002
1881,16,Elizabeth,F,1852
1881,17,Walter,M,1670
1881,18,Margaret,F,1658
1881,19,Minnie,F,1653
1881,20,Arthur,M,1575
1881,21,Ida,F,1439
1881,22,Fred,M,1418
1881,23,Annie,F,1326
1881,24,Bertha,F,1324
1881,25,Albert,M,1319
1881,26,Alice,F,1308
1881,27,Clara,F,1242
1881,28,Sarah,F,1226
1881,29,Ella,F,1148
1881,30,Nellie,F,1096
1882,1,John,M,9557
1882,2,William,M,9298
1882,3,Mary,F,8148
1882,4,James,M,5892
1882,5,George,M,5193
1882,6,Charles,M,5091
1882,7,Frank,M,3176
1882,8,Anna,F,3143
1882,9,Joseph,M,2670
1882,10,Thomas,M,2610
1882,11,Henry,M,2579
1882,12,Robert,M,2500
1882,13,Edward,M,2477
1882,14,Emma,F,2303
1882,15,Harry,M,2232
1882,16,Elizabeth,F,2186
1882,17,Minnie,F,2004
1882,18,Margaret,F,1821
1882,19,Walter,M,1805
1882,20,Arthur,M,1686
1882,21,Ida,F,1673
1882,22,Fred,M,1641
